project_id_number,institution_id,relation_type
5121784,10117,APPLYING
5121802,10117,APPLYING
5121807,10117,APPLYING
5122100,10270,APPLYING
5122652,10057,APPLYING
5122658,10057,APPLYING
5122664,10057,APPLYING
5122676,10057,APPLYING
5122702,10057,APPLYING
5122714,10057,APPLYING
5122738,10057,APPLYING
5122750,10057,APPLYING
5122756,10057,APPLYING
5122762,10057,APPLYING
5122782,10057,APPLYING
5122794,10057,APPLYING
5122830,10057,APPLYING
5122864,10057,APPLYING
5123228,10282,APPLYING
5123234,10282,APPLYING
5123240,10282,APPLYING
5123390,10282,APPLYING
5123434,10282,APPLYING
5123456,10282,APPLYING
5123468,10282,APPLYING
5123488,10282,APPLYING
5123494,10282,APPLYING
5123500,10282,APPLYING
5123658,10282,APPLYING
5123664,10282,APPLYING
5124252,10274,APPLYING
5124258,10274,APPLYING
5124264,10274,APPLYING
5124270,10274,APPLYING
5124274,10274,APPLYING
5124286,10274,APPLYING
5124294,10274,APPLYING
5124298,10274,APPLYING
5124304,10274,APPLYING
5124320,10274,APPLYING
5124327,10274,APPLYING
5124334,10274,APPLYING
5124340,10274,APPLYING
5124346,10240,APPLYING
